time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-02-04 14:34:14.863390,390,1.48495e-06,2,2,2,2,2,4,3,3,144,2
2025-02-04 14:34:18.962491,405,3.33195e-07,336,2,3,2,2,2,2,3,519,2
2025-02-04 14:34:22.504789,420,4.78154e-07,1064,3,3,2,2,4,3,3,877,2
2025-02-04 14:34:26.059720,435,5.88828e-07,467,1552,3,2,2,2,3,3,1377,2
2025-02-04 14:34:29.579431,450,7.54914e-07,4,3303,96,2,3,2,3,3,1922,2
2025-02-04 14:34:33.113341,465,8.97193e-07,2,1768,2815,3,3,2,3,4,2642,3
2025-02-04 14:34:36.685400,480,1.03516e-06,2,3,5794,93,3,2,3,3,3241,3
2025-02-04 14:34:40.159020,495,1.09456e-06,4,4,5559,2650,3,2,3,4,4435,3
2025-02-04 14:34:43.670634,510,1.30562e-06,4,3,1171,8745,3,2,3,3,5041,3
2025-02-04 14:34:47.221535,525,1.40696e-06,2,3,4,10336,1401,4,31,3,6091,3
2025-02-04 14:34:50.715527,540,1.41321e-06,4,3,4,5271,8521,2,71,4,7274,3
2025-02-04 14:34:54.275205,555,1.56585e-06,4,3,3,1151,15600,578,4,3,7985,87
2025-02-04 14:34:57.767506,570,1.61931e-06,21,3,3,109,12059,4165,22,4,8654,233
2025-02-04 14:35:01.243684,585,1.68315e-06,36,3,112,31,3604,15849,815,157,9394,533
2025-02-04 14:35:04.783928,600,1.6914e-06,11,3,160,3,822,19569,3914,4,9826,440
2025-02-04 14:35:08.299547,615,1.66941e-06,4,3,14,58,3,13353,13245,3,10487,405
2025-02-04 14:35:11.812778,630,1.62522e-06,44,4,77,142,3,3882,21288,283,11023,962
2025-02-04 14:35:15.311568,645,1.67805e-06,75,149,167,9,109,620,19575,1895,11356,524
2025-02-04 14:35:18.860606,660,1.7509e-06,106,106,109,69,266,139,12258,9523,12245,351
2025-02-04 14:35:22.389756,675,1.69175e-06,177,96,17,160,435,222,4331,26413,12913,719
2025-02-04 14:35:25.889796,690,1.5612e-06,346,141,31,120,578,85,1953,32311,13141,919
2025-02-04 14:35:29.985524,705,1.50793e-06,180,192,132,54,341,89,678,26023,12170,511
2025-02-04 14:35:33.524362,720,1.48912e-06,48,154,226,61,234,296,282,12299,11065,654
2025-02-04 14:35:37.026742,735,1.39775e-06,75,133,101,30,337,510,34,3099,10172,655
2025-02-04 14:35:40.545407,750,1.22155e-06,188,207,154,38,236,102,5,452,9516,492
2025-02-04 14:35:44.096070,765,1.06841e-06,108,165,141,158,3,254,85,85,8832,793
2025-02-04 14:35:47.608717,780,9.39479e-07,136,221,48,332,3,458,147,36,7911,1224
2025-02-04 14:35:51.097502,795,8.37295e-07,195,208,59,96,3,3,9,123,6999,280
2025-02-04 14:35:54.631043,810,7.41907e-07,13,62,88,163,3,4,50,4,6079,191
2025-02-04 14:35:58.182086,825,6.71111e-07,4,4,3,180,3,4,148,4,5272,391
2025-02-04 14:36:01.672355,840,6.26627e-07,4,42,3,3,3,3,53,43,4493,827
2025-02-04 14:36:05.181561,855,6.21251e-07,4,103,68,3,3,3,3,4,3922,1749
2025-02-04 14:36:08.671774,870,6.07925e-07,2,3,3,3,3,4,3,3,3418,3542
2025-02-04 14:36:12.189355,885,6.11974e-07,2,3,3,3,3,2,3,2,3046,7109
2025-02-04 14:36:15.730604,900,6.0403e-07,4,3,3,3,3,4,3,3,2699,11345
2025-02-04 14:36:19.274493,915,5.56136e-07,2,3,3,2,3,2,3,3,2370,14974
2025-02-04 14:36:22.803045,930,5.25083e-07,2,3,3,3,2,2,3,3,2119,14592
2025-02-04 14:36:26.358290,945,4.95812e-07,2,3,3,3,2,4,3,3,1800,12518
2025-02-04 14:36:29.891401,960,4.77287e-07,2,3,3,3,2,4,3,3,1493,10503
2025-02-04 14:36:33.435145,975,4.51782e-07,2,3,3,4,2,4,3,3,1179,8194
2025-02-04 14:36:36.968651,990,4.46711e-07,2,3,3,3,3,2,3,3,849,5619
2025-02-04 14:36:40.498051,1005,4.40822e-07,2,3,3,3,2,2,4,3,576,4187
2025-02-04 14:36:44.031933,1020,4.52014e-07,2,3,2,2,2,2,3,3,343,2736
2025-02-04 14:36:47.583552,1035,4.37767e-07,2,3,3,2,2,2,3,3,153,1543
2025-02-04 14:36:51.099454,1050,4.21048e-07,4,3,3,3,3,2,3,3,16,1241
2025-02-04 14:36:54.577133,1065,4.1421e-07,2,3,3,3,3,2,4,3,3,666
2025-02-04 14:36:58.112203,1080,4.13498e-07,4,3,2,2,2,2,3,3,3,346
2025-02-04 14:37:01.602898,1095,3.4234e-07,4,3,3,2,2,4,3,3,2,148
2025-02-04 14:37:07.170370,395,8.97403e-07,4,3,3,2,2,2,2,2,279,2
2025-02-04 14:37:11.250310,410,3.55611e-07,673,3,2,2,2,2,3,3,626,2
2025-02-04 14:37:14.793998,425,4.77496e-07,1173,138,3,2,3,2,3,3,1126,2
2025-02-04 14:37:18.342563,440,7.08601e-07,28,2278,3,2,2,2,3,3,1432,2
2025-02-04 14:37:21.895054,455,7.50201e-07,2,3477,572,2,2,2,3,3,2282,2
2025-02-04 14:37:25.425817,470,9.78448e-07,2,645,4413,3,3,4,3,3,2754,3
2025-02-04 14:37:28.977281,485,1.01218e-06,2,3,6353,473,3,2,4,3,3713,3
2025-02-04 14:37:32.524348,500,1.16761e-06,3,3,3956,4790,2,2,3,4,4679,3
2025-02-04 14:37:36.029594,515,1.37051e-06,2,3,609,9888,168,3,3,3,5324,3
2025-02-04 14:37:39.541475,530,1.3915e-06,4,3,3,9655,2875,2,68,24,6550,3
2025-02-04 14:37:43.077326,545,1.47563e-06,4,3,3,2712,12684,4,79,4,7588,62
2025-02-04 14:37:46.599605,560,1.59106e-06,4,4,3,626,15260,1225,3,4,8252,20
2025-02-04 14:37:50.109329,575,1.65359e-06,57,3,4,66,9039,7030,173,42,8939,427
2025-02-04 14:37:53.636419,590,1.69905e-06,14,4,206,3,2509,18646,1441,181,9593,285
2025-02-04 14:37:57.165533,605,1.69387e-06,6,3,63,3,239,18530,6095,4,10088,648
2025-02-04 14:38:00.669078,620,1.66985e-06,18,3,46,94,3,9975,17676,4,10796,539
2025-02-04 14:38:04.146222,635,1.63594e-06,34,39,78,192,3,2328,21172,539,11005,969
2025-02-04 14:38:07.677263,650,1.73963e-06,90,219,223,30,148,343,18048,3406,11700,344
2025-02-04 14:38:11.216908,665,1.74631e-06,115,62,50,96,326,148,8835,14705,12453,430
2025-02-04 14:38:14.681966,680,1.65291e-06,232,108,13,164,579,153,3499,30559,13107,891
2025-02-04 14:38:18.168475,695,1.56273e-06,288,159,56,113,585,119,1223,31534,13117,626
2025-02-04 14:38:22.185204,710,1.49276e-06,55,184,191,49,306,126,522,21943,11812,542
2025-02-04 14:38:25.731165,725,1.45106e-06,36,108,145,64,270,434,265,7752,10745,758
2025-02-04 14:38:29.230867,740,1.33427e-06,89,127,86,8,379,305,3,2092,9989,545
2025-02-04 14:38:32.700557,755,1.16976e-06,166,157,141,59,187,131,20,254,9305,549
2025-02-04 14:38:36.371471,770,1.02038e-06,126,201,115,212,3,288,112,51,8600,910
2025-02-04 14:38:39.897083,785,8.93635e-07,199,276,76,382,3,418,138,61,7600,1012
2025-02-04 14:38:43.333160,800,8.00573e-07,97,133,93,102,3,4,17,187,6720,226
2025-02-04 14:38:46.826764,815,7.29687e-07,2,3,4,166,3,2,67,4,5808,247
2025-02-04 14:38:50.331626,830,6.53807e-07,4,26,3,139,3,2,185,7,5021,503
2025-02-04 14:38:53.746414,845,6.27481e-07,4,57,28,3,3,4,9,30,4291,1064
2025-02-04 14:38:57.239311,860,6.12192e-07,4,69,4,3,3,3,4,3,3761,2229
2025-02-04 14:39:00.751986,875,6.25266e-07,2,4,3,3,4,4,3,3,3284,4491
2025-02-04 14:39:04.133959,890,6.16163e-07,3,3,3,3,3,4,3,3,2950,8588
2025-02-04 14:39:07.596223,905,5.94593e-07,2,3,3,3,2,4,3,3,2589,11653
2025-02-04 14:39:11.082761,920,5.56175e-07,2,3,3,2,2,2,3,3,2305,15228
2025-02-04 14:39:14.526611,935,5.24609e-07,2,3,3,3,3,4,3,3,2022,13829
2025-02-04 14:39:18.012218,950,4.82656e-07,2,3,3,3,2,4,3,3,1692,11644
