wavelength,index,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir,ratio,I_dut,P_dut,cycle,PAR
390,474.0,8.007014e-07,1.7355017468086143e-05,1.6965458865219264e-05,1.6965458865219264e-05,1.6965458865219264e-05,1.1310305910146176e-05,1.6207380748537332e-05,1.3758843329341753e-05,1.5765323592183775e-05,4.6914121779247925e-05,1.1310305910146176e-05,0.7752099910635942,0.0945518469582908,6.207117251386073e-07,3.0,0.0
393,522.0,8.524717999999999e-07,1.9963906876898357e-05,1.5498357667876212e-05,1.4339042482340177e-05,1.5496018797950066e-05,1.1032808458854074e-05,1.1032808458854074e-05,1.2195476030978519e-05,1.2125519889810835e-05,0.00041141733337711484,1.1032808458854074e-05,0.7289182789378068,0.0945518469582908,6.213822772990142e-07,3.0,0.0
396,570.0,9.60154e-07,1.7051131281986777e-05,1.1651169538965341e-05,1.2517662859158009e-05,1.344206293016628e-05,8.96137528677752e-06,1.2566037645309577e-05,1.2570443638598017e-05,1.2570443638598017e-05,0.0006777435472411748,8.96137528677752e-06,0.7960054104730779,0.0945518469582908,7.642877788873676e-07,3.0,0.0
399,617.0,7.527944e-07,0.00047592493591152804,1.3892643286820446e-05,1.3892643286820446e-05,1.3892643286820446e-05,9.90064535002419e-06,1.37512172805455e-05,1.2880396160916269e-05,1.1825931315284846e-05,0.0011932718704930928,9.90064535002419e-06,0.9196085819610949,0.0945518469582908,6.922761906922533e-07,3.0,0.0
402,664.0,3.182008e-07,0.0022020975610438365,2.680488240318227e-05,2.4755423202861734e-05,2.902376104467339e-05,2.0679270317092332e-05,2.0679270317092332e-05,3.10189054756385e-05,2.902376104467339e-05,0.0025226180038267626,2.0679270317092332e-05,1.041647625976034,0.0945518469582908,3.3145310790367485e-07,3.0,0.31752102007530525
405,475.0,3.371234e-07,0.0038927695281494286,2.2995919009021013e-05,2.2995919009021013e-05,2.5030665020186288e-05,1.729096998657797e-05,2.1138363650298588e-05,2.1138363650298588e-05,2.5144410517067932e-05,0.003150279634227062,1.9252039122604605e-05,1.0554545245071771,0.0945518469582908,3.558184178472429e-07,3.0,0.3198905799266135
408,523.0,3.624414e-07,0.00566499603066851,2.5864934876280175e-05,2.5864934876280175e-05,2.9732821024831667e-05,1.982188068322111e-05,1.982188068322111e-05,2.5864934876280175e-05,2.9700603771877753e-05,0.0038970842977990457,1.982188068322111e-05,0.9538893221594205,0.0945518469582908,3.457289813685114e-07,3.0,0.3222601397779218
411,571.0,3.8797280000000004e-07,0.007193825108992564,2.7607209621013088e-05,2.5391835543254554e-05,2.542629683656154e-05,2.1210915901600126e-05,2.5591923283094956e-05,2.5598139986669278e-05,2.5598139986669278e-05,0.004615839472429661,2.1210915901600126e-05,0.8331371183201226,0.0945518469582908,3.232345405785893e-07,3.0,0.32462969962923
414,618.0,4.289824e-07,0.007611361384100919,2.681047090372041e-05,2.678127148924832e-05,2.8889874568017812e-05,2.0686964964181438e-05,2.4704862351833787e-05,2.677850110423556e-05,2.691589020055936e-05,0.004888551965553084,2.0686964964181438e-05,0.7716337003239455,0.0945518469582908,3.3101727668584695e-07,3.0,0.32699925948053826
417,665.0,4.61322e-07,0.007247936769197353,2.8203459673567366e-05,2.4504858884187893e-05,2.8264835364201795e-05,1.8802306449044913e-05,3.0061082674481538e-05,2.8203459673567366e-05,2.4431694561763224e-05,0.004952703924929229,1.8802306449044913e-05,0.7892762455614135,0.0945518469582908,3.641104961548824e-07,3.0,0.32936881933184653
