time,wavelength,power,f1,f2,f3,f4,f5,f6,f7,f8,clear,nir
2025-02-18 14:32:10.293194,390,6.8873e-07,4,3,3,3,4,4,3,3,28,3
2025-02-18 14:32:14.372280,405,3.43132e-07,381,3,3,3,3,4,3,4,338,4
2025-02-18 14:32:17.927756,420,4.70242e-07,820,4,3,3,4,4,3,3,635,4
2025-02-18 14:32:21.454369,435,5.91686e-07,118,1248,3,3,4,4,3,4,1086,4
2025-02-18 14:32:24.941748,450,7.58986e-07,4,2575,90,3,3,4,3,3,1534,3
2025-02-18 14:32:28.406108,465,8.88761e-07,4,1426,2323,4,4,4,4,4,2206,4
2025-02-18 14:32:31.947012,480,1.03587e-06,4,4,4531,120,4,4,4,3,2763,4
2025-02-18 14:32:35.474693,495,1.09009e-06,4,4,4288,2419,4,4,4,4,3878,5
2025-02-18 14:32:39.008632,510,1.3155e-06,5,4,894,7628,49,4,4,4,4517,5
2025-02-18 14:32:42.546842,525,1.41556e-06,4,4,5,9005,1339,4,5,5,5469,49
2025-02-18 14:32:46.073148,540,1.43159e-06,4,4,4,4633,7529,43,54,5,6672,66
2025-02-18 14:32:49.641975,555,1.56805e-06,6,4,4,969,13618,1215,4,4,7349,185
2025-02-18 14:32:53.149253,570,1.66007e-06,58,4,4,67,10833,6298,194,32,7970,277
2025-02-18 14:32:56.681693,585,1.69067e-06,21,4,114,4,3273,16526,1242,142,8565,650
2025-02-18 14:33:00.204020,600,1.74345e-06,29,4,127,4,541,15248,4742,4,9051,576
2025-02-18 14:33:03.729121,615,1.69833e-06,27,4,25,42,4,7371,13968,101,9660,497
2025-02-18 14:33:07.251748,630,1.67289e-06,56,52,79,124,5,1696,17320,705,10125,951
2025-02-18 14:33:10.843611,645,1.72271e-06,95,196,157,27,109,323,14178,3498,10469,479
2025-02-18 14:33:14.369408,660,1.80487e-06,127,139,102,85,237,177,7048,13667,11438,503
2025-02-18 14:33:17.904371,675,1.73379e-06,229,151,34,167,406,192,2561,25806,12148,834
2025-02-18 14:33:21.430458,690,1.59603e-06,279,187,55,114,592,126,1203,25528,12390,1094
2025-02-18 14:33:25.500609,705,1.52897e-06,94,222,135,56,334,202,472,16684,11433,667
2025-02-18 14:33:28.984446,720,1.50572e-06,69,177,196,70,231,380,284,5050,10494,673
2025-02-18 14:33:32.466605,735,1.41409e-06,104,165,92,23,293,185,65,1266,9609,750
2025-02-18 14:33:35.999199,750,1.26648e-06,207,227,141,49,183,146,69,172,8976,670
2025-02-18 14:33:39.528999,765,1.10958e-06,132,206,132,175,5,310,180,46,8417,923
2025-02-18 14:33:43.035397,780,9.61233e-07,186,258,57,306,4,421,181,75,7606,1272
2025-02-18 14:33:46.557928,795,8.42192e-07,69,185,59,83,5,6,11,183,6719,606
2025-02-18 14:33:50.013305,810,7.54001e-07,4,32,47,135,5,5,46,4,5748,389
2025-02-18 14:33:53.599399,825,6.98073e-07,4,12,5,99,5,4,127,17,4979,565
2025-02-18 14:33:57.115194,840,6.46966e-07,6,44,5,4,4,6,18,5,4295,982
2025-02-18 14:34:00.633072,855,6.30982e-07,4,83,46,4,5,4,4,4,3776,1795
2025-02-18 14:34:04.138933,870,6.42465e-07,4,4,4,4,4,4,3,4,3288,3311
2025-02-18 14:34:07.680714,885,6.21559e-07,5,4,4,4,4,4,4,4,2914,6122
2025-02-18 14:34:11.202636,900,6.10311e-07,5,4,4,4,4,4,4,4,2570,9111
2025-02-18 14:34:14.777959,915,5.77137e-07,4,4,4,4,4,4,4,4,2274,12856
2025-02-18 14:34:18.313186,930,5.49059e-07,4,4,4,4,4,6,4,4,2020,13466
2025-02-18 14:34:21.843686,945,5.05622e-07,4,4,4,4,4,4,4,4,1727,11662
2025-02-18 14:34:25.336054,960,4.90028e-07,4,4,4,4,4,4,4,4,1445,9911
2025-02-18 14:34:28.880844,975,4.77098e-07,4,4,4,5,4,4,4,4,1126,7656
2025-02-18 14:34:32.384689,990,4.7661e-07,4,3,4,4,4,4,4,3,817,5423
2025-02-18 14:34:35.943602,1005,4.72293e-07,4,4,4,4,4,4,4,3,552,3844
2025-02-18 14:34:39.475533,1020,4.50056e-07,4,3,4,4,4,4,3,3,322,2611
2025-02-18 14:34:42.989677,1035,4.37458e-07,4,3,4,3,4,4,4,4,141,1453
2025-02-18 14:34:46.526145,1050,4.31839e-07,4,3,3,3,4,4,3,4,8,1188
2025-02-18 14:34:50.056081,1065,4.22896e-07,4,3,3,3,4,4,3,3,4,641
2025-02-18 14:34:53.593873,1080,4.1463e-07,4,3,3,3,3,4,3,3,4,321
